150 16762
0 1 4
0 3 8
0 4 8
0 5 8
0 6 8
0 7 5
0 9 8
0 11 1
0 12 6
0 15 9
0 16 8
0 17 5
0 18 4
0 19 8
0 20 3
0 21 8
0 23 3
0 24 9
0 25 6
0 29 7
0 31 3
0 32 9
0 33 7
0 36 5
0 37 5
0 38 2
0 40 7
0 42 6
0 43 9
0 46 9
0 49 3
0 51 8
0 52 6
0 54 3
0 55 4
0 56 4
0 57 9
0 58 4
0 59 2
0 60 5
0 61 9
0 62 4
0 63 5
0 65 8
0 66 1
0 67 4
0 68 7
0 69 3
0 70 1
0 72 6
0 73 2
0 74 8
0 75 4
0 76 2
0 77 1
0 78 4
0 79 6
0 82 8
0 83 7
0 84 7
0 85 2
0 87 7
0 88 8
0 90 3
0 91 9
0 93 3
0 95 5
0 96 3
0 97 1
0 98 4
0 99 7
0 100 2
0 102 4
0 103 4
0 104 9
0 105 4
0 108 1
0 109 4
0 111 8
0 112 2
0 116 4
0 117 4
0 119 2
0 120 3
0 121 1
0 122 5
0 123 7
0 124 4
0 125 3
0 126 9
0 127 6
0 128 1
0 130 3
0 131 4
0 132 2
0 133 6
0 135 1
0 137 3
0 138 3
0 139 5
0 140 2
0 142 2
0 144 8
0 145 7
0 146 1
0 147 3
0 148 7
0 149 1
1 0 4
1 2 8
1 3 7
1 4 2
1 6 7
1 8 7
1 10 6
1 11 1
1 12 8
1 13 8
1 15 9
1 16 2
1 17 1
1 18 9
1 22 5
1 23 8
1 24 4
1 25 1
1 26 2
1 27 3
1 28 9
1 29 1
1 30 4
1 33 3
1 34 4
1 35 9
1 36 3
1 37 5
1 38 3
1 39 2
1 40 2
1 41 5
1 42 3
1 43 7
1 44 5
1 46 9
1 47 5
1 48 8
1 49 7
1 50 7
1 51 8
1 52 3
1 53 2
1 54 1
1 55 7
1 58 4
1 59 1
1 60 6
1 61 9
1 62 2
1 63 1
1 65 4
1 66 8
1 68 2
1 69 9
1 70 4
1 71 8
1 72 9
1 73 2
1 74 9
1 75 9
1 76 9
1 77 5
1 78 5
1 79 7
1 80 4
1 81 5
1 82 5
1 84 5
1 86 1
1 87 5
1 88 3
1 90 5
1 91 8
1 94 6
1 95 2
1 96 4
1 97 3
1 98 1
1 99 8
1 101 5
1 102 2
1 103 6
